"attr_time","attr_x","attr_y","attr_z"
"1518483758715","0.0529184","0.0299311","0.365055"
"1518483758737","0.0385039","0.00287533","0.293959"
"1518483758756","0.00207186","0.0540171","0.0704408"
"1518483758774","-0.019412","0.0298052","-0.0106869"
"1518483758797","-0.0423454","0.0429983","-0.163699"
"1518483758817","-0.0204685","0.00183582","-0.425934"
"1518483758837","0.0544958","0.00146866","-0.605074"
"1518483758859","-0.00620425","0.0164986","-0.426597"
"1518483758875","0.00652909","0.0189447","-0.368094"
"1518483758896","-0.0694782","0.0821953","-0.275321"
"1518483758915","-0.0421745","0.0197859","-0.0516996"
"1518483758935","-0.0145854","0.0445604","0.328316"
"1518483758953","0.0611177","-0.00649071","0.482926"
"1518483758978","0.0737946","0.0158768","0.280993"
"1518483759011","0.0398816","-0.0256062","0.0485759"
"1518483759031","-0.0121493","0.0159082","-0.0435023"
"1518483759043","-0.00780416","-0.0313282","-0.0424633"
"1518483759061","-0.0407208","0.00558376","-0.12208"
"1518483759078","0.00764716","-0.0357561","-0.0880871"
"1518483759110","-0.011121","-0.00178909","0.0176401"
"1518483759128","-0.0223048","-0.020586","0.0658283"
"1518483759144","-0.0389135","0.0505705","0.0833092"
"1518483759160","0.058894","0.0404568","0.110702"
"1518483759178","0.0375382","-0.0423355","0.214979"
"1518483759212","0.0721698","-0.0185451","0.15666"
"1518483759228","0.0539049","0.0253878","-0.110269"
"1518483759244","0.0392932","0.081604","-0.0709763"
"1518483759261","0.042927","0.0212288","0.136676"
"1518483759278","0.151182","-0.069211","0.293221"
"1518483759310","0.0596523","0.061471","-0.115945"
"1518483759327","0.141577","0.0242758","-0.0716863"
"1518483759343","0.0730382","-0.0820961","-0.043941"
"1518483759355","-0.0986339","0.0205174","0.139151"
"1518483759376","-0.0942304","-0.0123177","0.126644"
"1518483759397","-0.35312","0.129971","0.166439"
"1518483759416","-0.11777","0.107809","0.17146"
"1518483759435","0.0226245","0.128386","0.00500393"
"1518483759455","0.213472","0.00310612","-0.252663"
"1518483759478","0.0903302","0.0656939","-0.215538"
"1518483759497","0.0397021","0.0199928","-0.10156"
